"table_key","database_table"
"person","person"
"condition_era","condition_era"
"condition_occurrence","condition_occurrence"
"care_site","care_site"
"concept","concept"
"provider","provider"
"observation_period","observation_period"
"specimen","specimen"
"death","death"
"visit_occurrence","visit_occurrence"
"procedure_occurrence","procedure_occurrence"
"cost","cost"
"device_exposure","device_exposure"
"dose_era","dose_era"
"drug_era","drug_era"
"drug_exposure","drug_exposure"
"measurement","measurement"
"note","note",
"note_nlp","note_nlp"
"observation","observation"
"payer_plan_period","payer_plan_period"
