field,table
concept_id,concept
concept_name,concept
concept_level,concept
concept_class,concept
vocabulary_id,concept
concept_code,concept
valid_start_date,concept
valid_end_date,concept
invalid_reason,concept
ancestor_concept_id,concept_ancestor
descendant_concept_id,concept_ancestor
min_levels_of_separation,concept_ancestor
max_levels_of_separation,concept_ancestor
concept_id_1,concept_relationship
concept_id_2,concept_relationship
relationship_id,concept_relationship
valid_start_date,concept_relationship
valid_end_date,concept_relationship
invalid_reason,concept_relationship
concept_synonym_id,concept_synonym
concept_id,concept_synonym
concept_synonym_name,concept_synonym
drug_concept_id,drug_strength
ingredient_concept_id,drug_strength
amount_value,drug_strength
amount_unit,drug_strength
concentration_value,drug_strength
concentration_enum_unit,drug_strength
concentration_denom_unit,drug_strength
valid_start_date,drug_strength
valid_end_date,drug_strength
invalid_reason,drug_strength
relationship_id,relationship
relationship_name,relationship
is_hierarchical,relationship
defines_ancestry,relationship
reverse_relationship,relationship
source_code,source_to_concept_map
source_vocabulary_id,source_to_concept_map
source_code_description,source_to_concept_map
target_concept_id,source_to_concept_map
target_vocabulary_id,source_to_concept_map
mapping_type,source_to_concept_map
primary_map,source_to_concept_map
valid_start_date,source_to_concept_map
valid_end_date,source_to_concept_map
invalid_reason,source_to_concept_map
vocabulary_id,vocabulary
vocabulary_name,vocabulary
